Country,Year,GDP
Australia,2015,56755.72171
Canada,2015,43495.05439
Dominican Republic,2015,6921.517371
Greece,2015,18167.77372
Ireland,2015,61995.42278
Jamaica,2015,4907.50372
Mexico,2015,9605.952351
Poland,2015,12572.30788
Thailand,2015,5840.046948
United States,2015,56803.47243
Australia,2010,52022.1256
Canada,2010,47450.31847
Dominican Republic,2010,5555.390949
Greece,2010,26917.75898
Ireland,2010,48715.17686
Jamaica,2010,4704.054455
Mexico,2010,9271.398233
Poland,2010,12599.53358
Thailand,2010,5076.342992
United States,2010,48466.82338
Australia,2005,33999.24286
Canada,2005,36266.18712
Dominican Republic,2005,3970.32284
Greece,2005,22551.73574
Ireland,2005,50878.22361
Jamaica,2005,4089.198442
Mexico,2005,8277.671251
Poland,2005,8021.003655
Thailand,2005,2894.061896
United States,2005,44114.74778
Australia,2000,21679.24784
Canada,2000,24190.24962
Dominican Republic,2000,2869.105861
Greece,2000,12042.95373
Ireland,2000,26241.36461
Jamaica,2000,3384.694861
Mexico,2000,7157.8145
Poland,2000,4492.727604
Thailand,2000,2007.736363
United States,2000,36334.90878
Australia,1995,20319.63063
Canada,1995,20613.78788
Dominican Republic,1995,2122.797666
Greece,1995,12959.32432
Ireland,1995,19181.40045
Jamaica,1995,2580.736386
Mexico,1995,3928.223926
Poland,1995,3682.791215
Thailand,1995,2846.583364
United States,1995,28690.8757
Australia,1990,18211.27459
Canada,1990,21448.36196
Dominican Republic,1990,991.6144241
Greece,1990,9600.18513
Ireland,1990,14048.1062
Jamaica,1990,1897.686963
Mexico,1990,3112.268706
Poland,1990,1731.209509
Thailand,1990,1508.942737
United States,1990,23888.60001
Australia,1985,11437.66446
Canada,1985,14114.80776
Dominican Republic,1985,780.3858658
Greece,1985,4813.71118
Ireland,1985,6018.935061
Jamaica,1985,899.2567575
Mexico,1985,2569.239747
Poland,1985,0
Thailand,1985,747.7034373
United States,1985,18236.82773
Australia,1980,10194.3187
Canada,1980,11170.56397
Dominican Republic,1980,1164.952626
Greece,1980,5893.66181
Ireland,1980,6380.069479
Jamaica,1980,1238.83506
Mexico,1980,3027.37505
Poland,1980,0
Thailand,1980,682.929843
United States,1980,12574.79151
Australia,1975,6994.209927
Canada,1975,7511.211347
Dominican Republic,1975,699.6023237
Greece,1975,3153.235306
Ireland,1975,2976.960967
Jamaica,1975,1410.448086
Mexico,1975,1476.313068
Poland,1975,0
Thailand,1975,351.6192943
United States,1975,7801.456664
Australia,1970,3299.843207
Canada,1970,4121.932809
Dominican Republic,1970,330.1316526
Greece,1970,1494.387855
Ireland,1970,1488.294699
Jamaica,1970,748.9574615
Mexico,1970,689.7949287
Poland,1970,0
Thailand,1970,192.1276287
United States,1970,5234.296666
