Country,Year,Life
Australia,2015,82.4
Canada,2015,81.9
Dominican Republic,2015,73.241
Greece,2015,81.03658537
Ireland,2015,81.45365854
Jamaica,2015,74.098
Mexico,2015,74.904
Poland,2015,77.45121951
Thailand,2015,76.091
United States,2015,78.6902439
Australia,2010,81.69512195
Canada,2010,81.24634146
Dominican Republic,2010,72.046
Greece,2010,80.38780488
Ireland,2010,80.74390244
Jamaica,2010,74.038
Mexico,2010,75.065
Poland,2010,76.24634146
Thailand,2010,74.184
United States,2010,78.54146341
Australia,2005,80.84146341
Canada,2005,80.19268293
Dominican Republic,2005,70.771
Greece,2005,79.23902439
Ireland,2005,78.94390244
Jamaica,2005,74.148
Mexico,2005,75.3
Poland,2005,74.99512195
Thailand,2005,72.099
United States,2005,77.48780488
Australia,2000,79.23414634
Canada,2000,79.13658537
Dominican Republic,2000,69.429
Greece,2000,77.88780488
Ireland,2000,76.53658537
Jamaica,2000,74.142
Mexico,2000,74.34
Poland,2000,73.74878049
Thailand,2000,70.623
United States,2000,76.63658537
Australia,1995,77.82926829
Canada,1995,78.02926829
Dominican Republic,1995,68.164
Greece,1995,77.58536585
Ireland,1995,75.61756098
Jamaica,1995,74.133
Mexico,1995,72.598
Poland,1995,71.89268293
Thailand,1995,70.191
United States,1995,75.62195122
Australia,1990,76.99463415
Canada,1990,77.42195122
Dominican Republic,1990,66.574
Greece,1990,76.93902439
Ireland,1990,74.80909756
Jamaica,1990,73.204
Mexico,1990,70.866
Poland,1990,70.8902439
Thailand,1990,70.248
United States,1990,75.21463415
Australia,1985,75.62926829
Canada,1985,76.36829268
Dominican Republic,1985,64.692
Greece,1985,75.0785122
Ireland,1985,73.74236585
Jamaica,1985,71.823
Mexico,1985,68.809
Poland,1985,70.54878049
Thailand,1985,67.911
United States,1985,74.56341463
Australia,1980,74.33365854
Canada,1980,75.07804878
Dominican Republic,1980,62.861
Greece,1980,73.64714634
Ireland,1980,72.6232439
Jamaica,1980,70.793
Mexico,1980,66.553
Poland,1980,70.09756098
Thailand,1980,64.432
United States,1980,73.6097561
Australia,1975,72.62536585
Canada,1975,73.52170732
Dominican Republic,1975,60.764
Greece,1975,72.29370732
Ireland,1975,71.61660976
Jamaica,1975,69.41
Mexico,1975,63.922
Poland,1975,70.56097561
Thailand,1975,61.985
United States,1975,72.60487805
Australia,1970,71.01853659
Canada,1970,72.7004878
Dominican Republic,1970,58.093
Greece,1970,70.90363415
Ireland,1970,71.03143902
Jamaica,1970,67.917
Mexico,1970,61.362
Poland,1970,69.86829268
Thailand,1970,59.385
United States,1970,70.80731707
